t,p1x,p1y,p1h,p2x,p2y,p2h,p1ax,p1ay,p2ax,p2ay
1467,330.0,350.0,0,492.0451074880167,350.0,180.0,0.0,0.0,-3.361546887749883e-05,4.116707635880645e-21
1484,330.0,350.0,0,490.29111156255,350.0,180.0,0.0,0.0,-2.2642683166860506e-05,2.772928946585556e-21
1501,330.0,350.0,0,488.53711387399346,350.0,180.0,0.0,0.0,-1.5251642120220179e-05,1.867787470391993e-21
1518,330.0,350.0,0,486.78311499785616,350.0,180.0,0.0,0.0,-1.0273190047668964e-05,1.2581029309662292e-21
1535,330.0,350.0,0,485.02911532178905,350.0,180.0,0.0,0.0,-6.919807908900566e-06,8.474320606172622e-22
1552,330.0,350.0,0,483.27511510690584,350.0,180.0,0.0,0.0,-4.661039194870147e-06,5.708126730794609e-22
1569,330.0,350.0,0,481.52111452908724,350.0,180.0,0.0,0.0,-3.1395794032525428e-06,3.844875868842457e-22
1586,330.0,350.0,0,479.7671137068029,350.0,180.0,0.0,0.0,-2.114755621859973e-06,2.589828702193218e-22
1603,330.0,350.0,0,478.01311271985145,350.0,180.0,0.0,0.0,-1.4244555569074264e-06,1.7444549386099483e-22
1620,330.0,350.0,0,476.2591116219837,350.0,180.0,0.0,0.0,-9.594837426535003e-07,1.175028694139843e-22
1637,330.0,350.0,0,474.50511044940504,350.0,180.0,0.0,0.0,-6.462883645246407e-07,7.91474976804434e-23
1654,330.0,350.0,0,472.7511092265026,350.0,180.0,0.0,0.0,-4.3532644783079585e-07,5.331211417187384e-23
1671,330.0,350.0,0,470.99710796970317,350.0,180.0,0.0,0.0,-2.9322687441556223e-07,3.590993517784572e-23
1688,330.0,350.0,0,469.2431066900714,350.0,180.0,0.0,0.0,-1.9751154541956887e-07,2.4188188110312202e-23
1705,330.0,350.0,0,467.4891053950602,350.0,180.0,0.0,0.0,-1.3303968332218787e-07,1.6292662140070778e-23
1722,330.0,350.0,0,465.7351040896898,350.0,180.0,0.0,0.0,-8.961277419463358e-08,1.0974399503413936e-23
1739,330.0,350.0,0,463.9811027773416,350.0,180.0,0.0,0.0,-6.036130758622996e-08,7.392128304649436e-24
1756,330.0,350.0,0,462.22710146029334,350.0,180.0,0.0,0.0,-4.065812471012845e-08,4.979184465604474e-24
1773,330.0,350.0,0,460.4731001400792,350.0,180.0,0.0,0.0,-2.7386471652548874e-08,3.353875317108733e-24
1790,330.0,350.0,0,458.71909881773263,350.0,180.0,0.0,0.0,-1.8446957948098688e-08,2.2591008813624987e-24
1807,330.0,350.0,0,456.96509749394966,350.0,180.0,0.0,0.0,-1.2425488611878629e-08,1.521683451914256e-24
1824,330.0,350.0,0,455.21109616919915,350.0,180.0,0.0,0.0,-8.36955184896022e-09,1.0249746307447996e-24
1841,330.0,350.0,0,453.45709484379694,350.0,180.0,0.0,0.0,-5.637554736762574e-09,6.904015515149841e-25
1858,330.0,350.0,0,451.7030935179558,350.0,180.0,0.0,0.0,-3.7973430935648245e-09,4.650402321472722e-25
1874,330.0,350.0,0,450.0417998008417,350.0,180.0,0.0,0.0,-0.10223574074024633,1.252026726560044e-17
1891,330.0,349.9942898439562,0,448.28030608497806,350.0,180.0,0.0,0.0,0.03140881115979589,-3.846470005186856e-18
1944,330.0,349.93735135871003,0,443.912446507542,350.0,180.0,0.0,0.0,1.0002279503046834,-1.224925957758348e-16
1961,330.0,349.9152388398546,0,442.3962117703617,350.0,180.0,0.0,0.0,-0.9967402647616824,1.2206547748216768e-16
1977,330.0,349.89133891846103,0,440.88660773787336,350.0,180.0,0.0,0.0,-0.8062458395085281,9.873663866799911e-17
1994,330.0,349.8628225657943,0,439.23367498910267,350.0,180.0,0.0,0.0,-0.4236891371271265,5.188695456162386e-17
2011,330.0,349.8315017108631,0,437.54775136187214,350.0,180.0,0.0,0.0,-0.2853882219705451,3.494997725505832e-17
2028,330.0,349.797662116461,0,435.8396057626347,350.0,180.0,0.0,0.0,-0.19223159175561516,2.3541580353851446e-17
2045,330.0,349.7615604277821,0,434.1164919035954,350.0,180.0,0.0,0.0,-0.12948321627902087,1.585712063594054e-17
2062,330.0,349.72342713933807,0,432.3832957349651,350.0,180.0,0.0,0.0,-0.08721721099450638,1.0681027827498073e-17
2079,330.0,349.6834692595639,0,430.64330833154645,350.0,180.0,0.0,0.0,-0.05874770578194782,7.194518984311513e-18
2096,330.0,349.641872703915,0,428.89874649312014,350.0,180.0,0.0,0.0,-0.03957123709057613,4.8460788841275575e-18
2113,330.0,349.59880444412175,0,427.1511034100761,350.0,180.0,0.0,0.0,-0.026654365205181853,3.264218303183216e-18
2130,330.0,349.554414438447,0,425.40138486451514,350.0,180.0,0.0,0.0,-0.01795382800049924,2.198709799325258e-18
2147,330.0,349.50883736526146,0,423.65026833041605,350.0,180.0,0.0,0.0,-0.012093326454790339,1.4810053533903281e-18
2164,330.0,349.46219417997764,0,421.89821014021044,350.0,180.0,0.0,0.0,-0.008145814070298024,9.975745127639833e-19
2181,330.0,349.41459351334095,0,420.1455176699669,350.0,180.0,0.0,0.0,-0.005486851538815575,6.719455174407317e-19
2198,330.0,349.3661329272431,0,418.3923979618351,350.0,180.0,0.0,0.0,-0.003695829483606537,4.526085747293607e-19
2216,330.0,349.3139790816906,0,416.5475482345739,350.0,180.0,0.0,0.0,0.08792183321200281,-1.0767319161824792e-17
2233,330.0,349.2640314633194,0,414.8013895603988,350.0,180.0,0.0,0.0,-0.03287714903564583,4.026289533159559e-18
2250,330.0,349.21346306649,0,413.0526708818881,350.0,180.0,0.0,0.0,-0.022145366223841396,2.7120251861972808e-18
2267,330.0,349.1623371449886,0,411.3022278375122,350.0,180.0,0.0,0.0,-0.014916659733980498,1.8267639597188844e-18
2284,330.0,349.11071050740105,0,409.5506232960263,350.0,180.0,0.0,0.0,-0.01004755285463771,1.2304703442694278e-18
